id,label,npy_path
22726.mp3,alarm_call,C:\Users\HishamMo\Desktop\999_cs\animal-stress-reducer\processed_npy\alarm_call_22726.npy
28218.mp3,song,C:\Users\HishamMo\Desktop\999_cs\animal-stress-reducer\processed_npy\song_28218.npy
32820.mp3,song,C:\Users\HishamMo\Desktop\999_cs\animal-stress-reducer\processed_npy\song_32820.npy
42775.mp3,song,C:\Users\HishamMo\Desktop\999_cs\animal-stress-reducer\processed_npy\song_42775.npy
43760.mp3,song,C:\Users\HishamMo\Desktop\999_cs\animal-stress-reducer\processed_npy\song_43760.npy
48258.mp3,alarm_call,C:\Users\HishamMo\Desktop\999_cs\animal-stress-reducer\processed_npy\alarm_call_48258.npy
53725.mp3,song,C:\Users\HishamMo\Desktop\999_cs\animal-stress-reducer\processed_npy\song_53725.npy
54030.mp3,alarm_call,C:\Users\HishamMo\Desktop\999_cs\animal-stress-reducer\processed_npy\alarm_call_54030.npy
54031.mp3,song,C:\Users\HishamMo\Desktop\999_cs\animal-stress-reducer\processed_npy\song_54031.npy
56233.mp3,alarm_call,C:\Users\HishamMo\Desktop\999_cs\animal-stress-reducer\processed_npy\alarm_call_56233.npy
76364.mp3,song,C:\Users\HishamMo\Desktop\999_cs\animal-stress-reducer\processed_npy\song_76364.npy
78161.mp3,alarm_call,C:\Users\HishamMo\Desktop\999_cs\animal-stress-reducer\processed_npy\alarm_call_78161.npy
78967.mp3,alarm_call,C:\Users\HishamMo\Desktop\999_cs\animal-stress-reducer\processed_npy\alarm_call_78967.npy
87691.mp3,alarm_call,C:\Users\HishamMo\Desktop\999_cs\animal-stress-reducer\processed_npy\alarm_call_87691.npy
89967.mp3,song,C:\Users\HishamMo\Desktop\999_cs\animal-stress-reducer\processed_npy\song_89967.npy
95788.mp3,song,C:\Users\HishamMo\Desktop\999_cs\animal-stress-reducer\processed_npy\song_95788.npy
96140.mp3,song,C:\Users\HishamMo\Desktop\999_cs\animal-stress-reducer\processed_npy\song_96140.npy
99911.mp3,song,C:\Users\HishamMo\Desktop\999_cs\animal-stress-reducer\processed_npy\song_99911.npy
109532.mp3,alarm_call,C:\Users\HishamMo\Desktop\999_cs\animal-stress-reducer\processed_npy\alarm_call_109532.npy
117017.mp3,alarm_call,C:\Users\HishamMo\Desktop\999_cs\animal-stress-reducer\processed_npy\alarm_call_117017.npy
